Region Number,Name,Year,Population
1,East Kootenay,2001,58584
3,Central Kootenay,2001,59366
5,Kootenay-Boundary,2001,33126
7,Okanagan-Similkameen,2001,79919
9,Fraser Valley,2001,247745
15,Greater Vancouver,2001,2074885
17,Capital,2001,340002
19,Cowichan Valley,2001,75040
21,Nanaimo,2001,132480
23,Alberni-Clayoquot,2001,31608
27,Powell River,2001,20574
29,Sunshine Coast,2001,26687
31,Squamish-Lillooet,2001,34454
33,Thompson-Nicola,2001,124335
35,Central Okanagan,2001,154196
37,North Okanagan,2001,76334
39,Columbia-Shuswap,2001,50198
41,Cariboo,2001,68226
43,Mount Waddington,2001,13650
45,Central Coast,2001,3918
47,North Coast ,2001,22540
49,Kitimat-Stikine,2001,43254
53,Fraser-Fort George,2001,99144
55,Peace River,2001,57414
59,Northern Rockies,2001,5985
25,Comox + Strathacona,2001,100179
51,Bulkley-Nechako + Stikine,2001,43107
1,East Kootenay,2002,58041
3,Central Kootenay,2002,58427
5,Kootenay-Boundary,2002,32427
7,Okanagan-Similkameen,2002,80189
9,Fraser Valley,2002,250410
15,Greater Vancouver,2002,2099303
17,Capital,2002,342012
19,Cowichan Valley,2002,75316
21,Nanaimo,2002,134102
23,Alberni-Clayoquot,2002,31251
27,Powell River,2002,20208
29,Sunshine Coast,2002,27022
31,Squamish-Lillooet,2002,34839
33,Thompson-Nicola,2002,123661
35,Central Okanagan,2002,155939
37,North Okanagan,2002,76578
39,Columbia-Shuswap,2002,50152
41,Cariboo,2002,66701
43,Mount Waddington,2002,13183
45,Central Coast,2002,3787
47,North Coast ,2002,21926
49,Kitimat-Stikine,2002,42109
53,Fraser-Fort George,2002,97397
55,Peace River,2002,57625
59,Northern Rockies,2002,6042
25,Comox + Strathacona,2002,99827
51,Bulkley-Nechako + Stikine,2002,42090
1,East Kootenay,2003,57605
3,Central Kootenay,2003,57802
5,Kootenay-Boundary,2003,31930
7,Okanagan-Similkameen,2003,80474
9,Fraser Valley,2003,253771
15,Greater Vancouver,2003,2116536
17,Capital,2003,344180
19,Cowichan Valley,2003,76162
21,Nanaimo,2003,136127
23,Alberni-Clayoquot,2003,31279
27,Powell River,2003,19989
29,Sunshine Coast,2003,27276
31,Squamish-Lillooet,2003,35632
33,Thompson-Nicola,2003,123583
35,Central Okanagan,2003,158399
37,North Okanagan,2003,77112
39,Columbia-Shuswap,2003,50316
41,Cariboo,2003,65487
43,Mount Waddington,2003,12702
45,Central Coast,2003,3538
47,North Coast ,2003,21358
49,Kitimat-Stikine,2003,41326
53,Fraser-Fort George,2003,95707
55,Peace River,2003,58122
59,Northern Rockies,2003,6198
25,Comox + Strathacona,2003,100411
51,Bulkley-Nechako + Stikine,2003,41460
1,East Kootenay,2004,57125
3,Central Kootenay,2004,57518
5,Kootenay-Boundary,2004,31424
7,Okanagan-Similkameen,2004,80999
9,Fraser Valley,2004,258035
15,Greater Vancouver,2004,2134772
17,Capital,2004,346761
19,Cowichan Valley,2004,77277
21,Nanaimo,2004,138633
23,Alberni-Clayoquot,2004,31281
27,Powell River,2004,19915
29,Sunshine Coast,2004,27715
31,Squamish-Lillooet,2004,35897
33,Thompson-Nicola,2004,123959
35,Central Okanagan,2004,161097
37,North Okanagan,2004,77806
39,Columbia-Shuswap,2004,50365
41,Cariboo,2004,64573
43,Mount Waddington,2004,12439
45,Central Coast,2004,3468
47,North Coast ,2004,20908
49,Kitimat-Stikine,2004,40634
53,Fraser-Fort George,2004,95071
55,Peace River,2004,58587
59,Northern Rockies,2004,6391
25,Comox + Strathacona,2004,101830
51,Bulkley-Nechako + Stikine,2004,41171
1,East Kootenay,2005,56919
3,Central Kootenay,2005,57345
5,Kootenay-Boundary,2005,31423
7,Okanagan-Similkameen,2005,81122
9,Fraser Valley,2005,261562
15,Greater Vancouver,2005,2158900
17,Capital,2005,352078
19,Cowichan Valley,2005,77942
21,Nanaimo,2005,140465
23,Alberni-Clayoquot,2005,31522
27,Powell River,2005,19939
29,Sunshine Coast,2005,28100
31,Squamish-Lillooet,2005,36779
33,Thompson-Nicola,2005,124290
35,Central Okanagan,2005,163655
37,North Okanagan,2005,78945
39,Columbia-Shuswap,2005,50813
41,Cariboo,2005,64005
43,Mount Waddington,2005,12256
45,Central Coast,2005,3377
47,North Coast ,2005,20498
49,Kitimat-Stikine,2005,39955
53,Fraser-Fort George,2005,95014
55,Peace River,2005,59154
59,Northern Rockies,2005,6432
25,Comox + Strathacona,2005,103135
51,Bulkley-Nechako + Stikine,2005,40437
1,East Kootenay,2006,56902
3,Central Kootenay,2006,57204
5,Kootenay-Boundary,2006,31428
7,Okanagan-Similkameen,2006,81135
9,Fraser Valley,2006,265572
15,Greater Vancouver,2006,2188847
17,Capital,2006,355050
19,Cowichan Valley,2006,78864
21,Nanaimo,2006,142109
23,Alberni-Clayoquot,2006,31479
27,Powell River,2006,20018
29,Sunshine Coast,2006,28312
31,Squamish-Lillooet,2006,36470
33,Thompson-Nicola,2006,125794
35,Central Okanagan,2006,167112
37,North Okanagan,2006,79250
39,Columbia-Shuswap,2006,51346
41,Cariboo,2006,63872
43,Mount Waddington,2006,11944
45,Central Coast,2006,3273
47,North Coast ,2006,20170
49,Kitimat-Stikine,2006,39456
53,Fraser-Fort George,2006,95194
55,Peace River,2006,60371
59,Northern Rockies,2006,6383
25,Comox + Strathacona,2006,104208
51,Bulkley-Nechako + Stikine,2006,40031
1,East Kootenay,2007,57444
3,Central Kootenay,2007,57739
5,Kootenay-Boundary,2007,31608
7,Okanagan-Similkameen,2007,81626
9,Fraser Valley,2007,269584
15,Greater Vancouver,2007,2217187
17,Capital,2007,357049
19,Cowichan Valley,2007,79415
21,Nanaimo,2007,143672
23,Alberni-Clayoquot,2007,31430
27,Powell River,2007,20219
29,Sunshine Coast,2007,28588
31,Squamish-Lillooet,2007,37154
33,Thompson-Nicola,2007,127925
35,Central Okanagan,2007,171012
37,North Okanagan,2007,80248
